iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership,rank,pop2020,GrowthRate
BGD,BGD0003,Bangladesh,2.0,,0.0,0.0,RAHIM STEEL MILLS,DACCA,Operating,23.716782100000003,90.4221204,PlantFacts,Approximate,,,,,,,,,,,,,,,164689.383,0.0101
BGD,BGD0005,Bangladesh,4.0,,,0.0,MEGHNA ENG. WORKS,CHITTAGONG,Operating,22.356851000000002,91.7831819,PlantFacts,Approximate,,,,,,,,,,,,,,,164689.383,0.0101
KHM,KHM0001,Cambodia,1.0,,,0.0,EASTERN STEEL IND.,PHNOM PENH,Operating,11.556373800000001,104.92820990000001,PlantFacts,Approximate,,,,,,,,,,,,,,,16718.965,0.0141
IND,IND0001,India,1.0,1.0,110.0,0.0,MID-WEST IRON & STEEL,"SRIKAKULAM, ANDHRA",Operating,18.303555,83.896408,PlantFacts,Approximate,,,,,,,,,,,,,Plant owned by Concast / Dakuni Steels Ltd (http://www.concastispat.com/page_steel.html),,1380004.385,0.0099
IND,IND0013,India,1.0,,,0.0,DURGAPUR PROJECTS LTD,"DUGAPUR, WEST BENGAL",Operating,23.510915,87.310521,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0021,India,2.0,,0.0,0.0,G.K. STEEL & ALLIED,MADRAS,Operating,13.108702,80.155322,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0035,India,2.0,1.0,180.0,0.0,SATHAVAHANA ISPAT,"SIRIGUPPA, KARNATAKA",Operating,15.225248,76.764042,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0066,India,5.0,,,0.0,RATHI STEEL & POWER LTD,"SAMBALPUR, ODISHA",Operating,21.475166,83.965938,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0067,India,4.0,,150.0,0.0,REMI METALS GUJARAT,"JHAGADIA, GUJARAT",Operating,21.697198999999998,73.154536,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0083,India,2.0,,150.0,0.0,ISHAR ALLOY STEELS LTD,"INDORE, MADHYA PRADESH",Operating,22.719231,75.85757,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0105,India,1.0,,150.0,0.0,BIHAR SPONGE IRON,"CHANDIL, JHARKHAND",Operating,22.977603,86.11404,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0117,India,2.0,,50.0,0.0,STAR STEEL PVT.LTD,VADODARA,Operating,22.312855300000003,73.23250329999999,PlantFacts,Approximate,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0119,India,3.0,,50.0,0.0,KAP STEEL LTD,KAP BANGALORE,Operating,12.996615,77.70884000000001,PlantFacts,Approximate,,,,,,,,,,,,,couldn't be found & located exactly,,1380004.385,0.0099
IND,IND0120,India,2.0,1.0,400.0,0.0,RKKR STEELS,"NELLORE, ANDHRA PRADESH",Operating,14.137785000000001,79.98995500000001,PlantFacts,Approximate,,,,,,,,,,,,,might be the other SBQ STEELS (RKKR STEELS) plant,,1380004.385,0.0099
IND,IND0121,India,7.0,,136.0,0.0,JSW-BELLARY STEEL & ALLOYS,"BELLARY, KARNATAKA",Operating,15.193604999999998,76.66379599999999,PlantFacts,Approximate,,,,,,,,,,,,,part of the big JSW plant,,1380004.385,0.0099
